cadence,year,slice,days,n_top_in_position,n_ranked,oracle_ma_modal,modal_fast,modal_slow,modal_count,mean_capture_rate,mean_captured_return,dna_top5
1h,2025,W3,15-21,25,25,"SMA(10,20)",10,20,12,0.3388,0.0575,"SMA(10,20):12; SMA(5,20):5; EMA(10,100):2; SMA(20,50):2; EMA(10,20):2"
1h,2025,W4,22-28,19,25,"SMA(20,50)",20,50,13,0.0295,-0.0306,"SMA(20,50):13; SMA(10,50):2; SMA(20,100):1; SMA(10,100):1; EMA(20,100):1"
1h,2026,W1,1-7,24,25,"EMA(5,100)",5,100,7,0.7622,0.2705,"EMA(5,100):7; EMA(10,100):6; EMA(20,100):6; SMA(20,100):2; EMA(5,50):2"
1h,2026,W2,8-14,25,25,"EMA(20,100)",20,100,4,0.6479,0.1555,"EMA(20,100):4; EMA(5,50):4; SMA(5,20):3; SMA(5,50):3; SMA(20,50):2"
1h,2026,W3,15-21,22,25,"SMA(10,20)",10,20,9,0.19,0.023,"SMA(10,20):9; EMA(5,20):3; SMA(20,100):2; SMA(5,20):2; SMA(5,50):2"
1h,2026,W4,22-28,25,25,"SMA(5,50)",5,50,5,0.4051,0.0459,"SMA(5,50):5; SMA(20,50):4; SMA(5,100):3; EMA(10,20):3; SMA(10,20):2"
30m,2020,W1,1-7,3,5,"SMA(5,100)",5,100,1,0.2671,0.0182,"SMA(5,100):1; EMA(5,50):1; SMA(10,20):1"
30m,2020,W2,8-14,8,9,"EMA(10,20)",10,20,2,0.628,0.2287,"EMA(10,20):2; SMA(10,20):2; EMA(10,100):1; EMA(20,100):1; EMA(5,20):1"
30m,2020,W3,15-21,15,15,"SMA(5,100)",5,100,3,0.2442,0.0234,"SMA(5,100):3; SMA(20,50):3; SMA(5,20):3; EMA(5,20):2; EMA(10,100):1"
30m,2020,W4,22-28,15,15,"SMA(5,100)",5,100,5,0.7071,0.1275,"SMA(5,100):5; SMA(20,100):3; EMA(10,100):2; SMA(5,50):1; EMA(5,50):1"
30m,2021,W1,1-7,21,25,"EMA(5,100)",5,100,4,0.6598,0.3038,"EMA(5,100):4; EMA(10,100):4; SMA(20,50):3; EMA(20,100):3; SMA(20,100):2"
30m,2021,W2,8-14,23,25,"SMA(10,100)",10,100,4,0.5167,0.2423,"SMA(10,100):4; SMA(10,50):3; SMA(5,100):3; EMA(5,50):2; SMA(20,50):2"
30m,2021,W3,15-21,4,25,"SMA(10,20)",10,20,2,0.2025,0.1511,"SMA(10,20):2; SMA(5,100):1; EMA(10,100):1"
30m,2021,W4,22-28,25,25,"SMA(5,20)",5,20,5,0.4127,0.2323,"SMA(5,20):5; EMA(10,20):5; SMA(10,50):4; EMA(5,20):4; SMA(5,50):2"
30m,2022,W1,1-7,13,25,"SMA(10,20)",10,20,4,0.1452,0.0084,"SMA(10,20):4; SMA(20,50):3; SMA(5,20):2; SMA(5,50):1; EMA(10,20):1"
30m,2022,W2,8-14,25,25,"SMA(10,20)",10,20,4,0.2058,0.0519,"SMA(10,20):4; EMA(10,100):3; EMA(20,100):3; SMA(5,50):3; SMA(20,100):2"
30m,2022,W3,15-21,2,25,"SMA(20,100)",20,100,1,0.8044,0.1004,"SMA(20,100):1; SMA(20,50):1"
30m,2022,W4,22-28,25,25,"SMA(5,20)",5,20,6,0.2026,0.0308,"SMA(5,20):6; SMA(10,20):4; SMA(10,50):4; SMA(10,100):3; EMA(5,100):2"
30m,2023,W1,1-7,24,25,"EMA(5,100)",5,100,5,0.3101,0.0617,"EMA(5,100):5; EMA(5,50):4; EMA(5,20):2; SMA(5,100):2; SMA(20,100):2"
30m,2023,W2,8-14,25,25,"EMA(20,100)",20,100,10,0.7557,0.3471,"EMA(20,100):10; EMA(5,100):7; EMA(10,100):5; SMA(20,100):1; EMA(5,50):1"
30m,2023,W3,15-21,25,25,"EMA(5,50)",5,50,4,0.6408,0.143,"EMA(5,50):4; EMA(20,50):3; SMA(10,100):3; SMA(5,100):3; SMA(10,50):3"
30m,2023,W4,22-28,17,25,"EMA(20,100)",20,100,7,0.3681,0.0736,"EMA(20,100):7; SMA(5,100):4; EMA(5,50):3; SMA(5,50):1; EMA(5,100):1"
30m,2024,W1,1-7,5,25,"SMA(20,50)",20,50,2,0.0245,-0.0218,"SMA(20,50):2; SMA(10,50):1; SMA(20,100):1; SMA(10,20):1"
30m,2024,W2,8-14,14,25,"EMA(20,100)",20,100,4,0.268,0.0865,"EMA(20,100):4; EMA(5,100):3; SMA(20,50):3; EMA(10,50):1; SMA(5,50):1"
30m,2024,W3,15-21,18,25,"SMA(20,100)",20,100,9,0.1803,0.0094,"SMA(20,100):9; EMA(20,50):3; SMA(10,50):3; SMA(5,100):1; EMA(20,100):1"
30m,2024,W4,22-28,13,25,"EMA(20,100)",20,100,6,0.4236,0.0665,"EMA(20,100):6; EMA(5,100):2; SMA(10,100):2; SMA(20,100):1; SMA(20,50):1"
30m,2025,W2,8-14,25,25,"EMA(5,20)",5,20,9,0.6102,0.0968,"EMA(5,20):9; SMA(10,20):8; SMA(5,100):2; SMA(5,20):2; EMA(10,20):2"
30m,2025,W3,15-21,25,25,"SMA(10,20)",10,20,9,0.3859,0.0559,"SMA(10,20):9; SMA(5,20):8; EMA(10,100):2; SMA(5,100):1; EMA(5,20):1"
30m,2025,W4,22-28,9,25,"SMA(20,100)",20,100,7,0.0269,-0.0365,"SMA(20,100):7; SMA(5,100):1; SMA(20,50):1"
30m,2026,W1,1-7,6,25,"SMA(10,20)",10,20,2,0.4373,0.198,"SMA(10,20):2; EMA(20,100):1; EMA(10,100):1; EMA(5,100):1; SMA(5,20):1"
30m,2026,W2,8-14,25,25,"EMA(5,100)",5,100,6,0.5855,0.1396,"EMA(5,100):6; SMA(5,100):3; SMA(20,100):3; EMA(5,50):3; EMA(20,100):2"
30m,2026,W3,15-21,22,25,"SMA(20,50)",20,50,8,0.262,0.0167,"SMA(20,50):8; SMA(10,100):3; SMA(10,20):3; SMA(5,20):3; SMA(5,100):2"
30m,2026,W4,22-28,24,25,"EMA(20,100)",20,100,6,0.4174,0.0482,"EMA(20,100):6; SMA(20,100):3; EMA(20,50):2; SMA(20,50):2; EMA(5,100):2"
4h,2020,W2,8-14,7,9,"EMA(5,20)",5,20,2,0.5146,0.2051,"EMA(5,20):2; SMA(5,20):2; SMA(10,20):2; EMA(10,20):1"
4h,2020,W3,15-21,11,15,"SMA(5,20)",5,20,4,0.1454,0.0125,"SMA(5,20):4; EMA(5,20):4; SMA(10,20):2; SMA(5,50):1"
4h,2020,W4,22-28,15,15,"SMA(5,20)",5,20,8,0.6666,0.1097,"SMA(5,20):8; SMA(10,20):2; SMA(5,100):2; EMA(5,20):2; EMA(5,100):1"
4h,2021,W1,1-7,25,25,"SMA(5,50)",5,50,5,0.912,0.6622,"SMA(5,50):5; EMA(20,100):3; EMA(5,50):3; SMA(20,50):3; SMA(10,50):3"
4h,2021,W2,8-14,25,25,"EMA(20,100)",20,100,7,0.9023,0.8469,"EMA(20,100):7; SMA(5,100):4; EMA(10,50):3; SMA(5,50):2; SMA(20,100):2"
4h,2021,W3,15-21,25,25,"EMA(20,100)",20,100,8,0.56,0.9602,"EMA(20,100):8; SMA(5,100):5; SMA(20,50):4; SMA(10,100):2; SMA(20,100):2"
