cadence,year,slice,sym,trailing_perf,best_ti,fast,slow,captured_return,perfect_return,capture_rate
30m,2024,W2,APTUSDT,0.1506,"EMA(5,100)",5,100,0.0386,0.2317,0.1665
30m,2024,W2,LINKUSDT,0.1199,"SMA(20,50)",20,50,0.0385,0.1665,0.2312
30m,2024,W2,CHZUSDT,0.1162,"EMA(20,100)",20,100,-0.0079,0.1875,0.0
30m,2024,W2,ICPUSDT,0.1117,"SMA(20,100)",20,100,-0.0206,0.2077,0.0
30m,2024,W2,SUPERUSDT,0.0869,"SMA(5,20)",5,20,0.0,0.2093,0.0
30m,2024,W2,TRXUSDT,0.0815,"EMA(20,100)",20,100,0.0699,0.0979,0.7139
30m,2024,W2,ARKMUSDT,0.0645,"SMA(20,50)",20,50,-0.0397,0.1584,0.0
30m,2024,W3,CHZUSDT,0.1561,"SMA(20,100)",20,100,-0.0007,0.1561,0.0
30m,2024,W3,SUPERUSDT,0.0871,"SMA(20,100)",20,100,-0.0306,0.0871,0.0
30m,2024,W3,DOGEUSDT,0.0621,"EMA(20,50)",20,50,0.0822,0.1288,0.6378
30m,2024,W3,BNBUSDT,0.0554,"SMA(20,100)",20,100,0.0199,0.0554,0.3588
30m,2024,W3,FLOKIUSDT,0.0244,"SMA(5,100)",5,100,0.0436,0.1171,0.3725
30m,2024,W3,LTCUSDT,0.0233,"EMA(20,100)",20,100,0.0156,0.074,0.2106
30m,2024,W3,ZECUSDT,0.017,"SMA(10,100)",10,100,0.0148,0.0682,0.2168
30m,2024,W3,DASHUSDT,0.006,"EMA(20,50)",20,50,0.0318,0.0959,0.3314
30m,2024,W3,UNIUSDT,0.0036,"SMA(20,100)",20,100,-0.0309,0.039,0.0
30m,2024,W3,CRVUSDT,0.0013,"EMA(20,50)",20,50,0.0286,0.0712,0.4019
30m,2024,W3,BTCUSDT,-0.0143,"SMA(20,100)",20,100,-0.0006,0.0287,0.0
30m,2024,W3,ARKMUSDT,-0.0282,"SMA(20,100)",20,100,-0.0101,0.0492,0.0
30m,2024,W3,INJUSDT,-0.029,"SMA(20,100)",20,100,-0.0108,0.0535,0.0
30m,2024,W3,HBARUSDT,-0.0296,"SMA(20,100)",20,100,-0.004,0.0371,0.0
30m,2024,W3,XLMUSDT,-0.0302,"SMA(10,50)",10,50,0.0149,0.049,0.3046
30m,2024,W3,AAVEUSDT,-0.0346,"SMA(20,100)",20,100,-0.0069,0.0465,0.0
30m,2024,W3,ENJUSDT,-0.0379,"SMA(10,50)",10,50,-0.0014,0.0591,0.0
30m,2024,W3,JSTUSDT,-0.0404,"SMA(10,50)",10,50,0.0133,0.0323,0.4116
30m,2024,W4,PROMUSDT,0.3046,"EMA(20,100)",20,100,-0.0677,0.4073,0.0
30m,2024,W4,LDOUSDT,0.1009,"EMA(5,100)",5,100,0.1449,0.2264,0.64
30m,2024,W4,AVAXUSDT,0.0744,"SMA(10,100)",10,100,0.1342,0.2694,0.4981
30m,2024,W4,SOLUSDT,0.0564,"SMA(10,100)",10,100,0.1147,0.2101,0.546
30m,2024,W4,BONKUSDT,0.0274,"SMA(20,100)",20,100,0.0274,0.1739,0.1577
30m,2024,W4,TIAUSDT,0.0163,"EMA(5,100)",5,100,0.0647,0.2058,0.3145
30m,2024,W4,JSTUSDT,0.016,"EMA(20,100)",20,100,0.043,0.075,0.5738
30m,2024,W4,DOTUSDT,0.0125,"EMA(20,100)",20,100,0.0455,0.1474,0.3085
30m,2024,W4,BTCUSDT,0.0107,"EMA(20,100)",20,100,0.0476,0.0833,0.5716
30m,2024,W4,INJUSDT,0.0069,"SMA(20,50)",20,50,0.1437,0.1886,0.7621
30m,2024,W4,ARBUSDT,-0.0084,"EMA(20,100)",20,100,0.0356,0.1482,0.24
30m,2024,W4,NEARUSDT,-0.011,"EMA(20,100)",20,100,0.0798,0.1672,0.4771
30m,2024,W4,ENJUSDT,-0.0162,"EMA(20,50)",20,50,0.0511,0.1225,0.4172
